decision	bucket	name	url	status	items	stub_pct	freshness_h	reason
ACCEPT	africa_other	AllAfrica	https://allafrica.com/tools/headlines/rdf/latest/headlines.rdf	200	10	0.0	0.6	items=10, avg_summary=153.8c, stub=0.0%, fresh=0.6h
ACCEPT	africa_other	Premium Times Nigeria	https://www.premiumtimesng.com/feed	200	10	0.0	0.3	items=10, avg_summary=303.1c, stub=0.0%, fresh=0.3h
ACCEPT	argentina_chile	Buenos Aires Herald	https://www.batimes.com.ar/feed	200	10	0.0	9.1	items=10, avg_summary=159.5c, stub=0.0%, fresh=9.1h
ACCEPT	argentina_chile	Clarin	https://www.clarin.com/rss/lo-ultimo/	200	10	0.0	1.4	items=10, avg_summary=182.8c, stub=0.0%, fresh=1.4h
ACCEPT	argentina_chile	La Nacion AR	https://www.lanacion.com.ar/arc/outboundfeeds/rss/?outputType=xml	200	10	0.0		items=10, avg_summary=172.9c, stub=0.0%, fresh=0.0h
ACCEPT	australia_nz	ABC Australia World	https://www.abc.net.au/news/feed/2942460/rss.xml	200	10	0.0	1.7	items=10, avg_summary=177.3c, stub=0.0%, fresh=1.7h
ACCEPT	australia_nz	Sydney Morning Herald	https://www.smh.com.au/rss/feed.xml	200	10	0.0		items=10, avg_summary=150.0c, stub=0.0%, fresh=0.0h
ACCEPT	balkans	Balkan Insight	https://balkaninsight.com/feed/	200	10	0.0	3.4	items=10, avg_summary=176.2c, stub=0.0%, fresh=3.4h
ACCEPT	balkans	N1 Serbia English	https://rs.n1info.com/feed/	200	10	0.0	0.1	items=10, avg_summary=144.3c, stub=0.0%, fresh=0.1h
ACCEPT	belarus_caucasus	Civil Georgia	https://civil.ge/feed	200	10	0.0	20.8	items=10, avg_summary=373.2c, stub=0.0%, fresh=20.8h
ACCEPT	belarus_caucasus	OC Media	https://oc-media.org/feed/	200	10	0.0	1.7	items=10, avg_summary=177.1c, stub=0.0%, fresh=1.7h
ACCEPT	canada	CBC World	https://rss.cbc.ca/lineup/world.xml	200	10	10.0		items=10, avg_summary=196.4c, stub=10.0%, fresh=Noneh
ACCEPT	colombia_ven_peru	Caracas Chronicles	https://www.caracaschronicles.com/feed/	200	3	0.0	16.6	items=3, avg_summary=120.0c, stub=0.0%, fresh=16.6h
ACCEPT	colombia_ven_peru	El Tiempo Colombia	https://www.eltiempo.com/rss/mundo.xml	200	10	0.0	0.6	items=10, avg_summary=112.2c, stub=0.0%, fresh=0.6h
ACCEPT	egypt	Ahram Online (via Google News)	https://news.google.com/rss/search?q=site:ahram.org.eg&hl=ar&gl=EG&ceid=EG:ar	200	10	20.0	2.5	items=10, avg_summary=65.1c, stub=20.0%, fresh=2.5h
ACCEPT	egypt	Al Ahram English (via Google News)	https://news.google.com/rss/search?q=site:english.ahram.org.eg&hl=en&gl=EG&ceid=EG:en	200	10	60.0	0.9	items=10, avg_summary=77.6c, stub=60.0%, fresh=0.9h
ACCEPT	egypt	Daily News Egypt	https://dailynewsegypt.com/feed/	200	10	0.0	9.5	items=10, avg_summary=493.9c, stub=0.0%, fresh=9.5h
ACCEPT	egypt	Egypt Independent	https://egyptindependent.com/feed/	200	10	0.0	0.1	items=10, avg_summary=481.5c, stub=0.0%, fresh=0.1h
ACCEPT	egypt	Mada Masr	https://www.madamasr.com/en/feed/	200	10	0.0	23.0	items=10, avg_summary=375.8c, stub=0.0%, fresh=23.0h
ACCEPT	germany	Deutsche Welle Deutsch	https://rss.dw.com/rdf/rss-de-all	200	10	0.0	1.2	items=10, avg_summary=194.7c, stub=0.0%, fresh=1.2h
ACCEPT	germany	Deutsche Welle English	https://rss.dw.com/rdf/rss-en-all	200	10	0.0	0.5	items=10, avg_summary=189.0c, stub=0.0%, fresh=0.5h
ACCEPT	germany	Deutsche Welle Russian	https://rss.dw.com/rdf/rss-ru-all	200	10	0.0	0.3	items=10, avg_summary=200.7c, stub=0.0%, fresh=0.3h
ACCEPT	germany	Spiegel International	https://www.spiegel.de/international/index.rss	200	10	0.0	162.7	items=10, avg_summary=196.9c, stub=0.0%, fresh=162.7h
ACCEPT	germany	Tagesschau	https://www.tagesschau.de/xml/rss2/	200	10	0.0	0.5	items=10, avg_summary=207.6c, stub=0.0%, fresh=0.5h
ACCEPT	hungary_central	Hungary Today	https://hungarytoday.hu/feed/	200	5	0.0	0.6	items=5, avg_summary=457.2c, stub=0.0%, fresh=0.6h
ACCEPT	hungary_central	Prague Morning	https://praguemorning.cz/feed/	200	10	0.0	2.4	items=10, avg_summary=500.0c, stub=0.0%, fresh=2.4h
ACCEPT	hungary_central	Telex Hungary	https://telex.hu/rss	200	10	0.0		items=10, avg_summary=123.5c, stub=0.0%, fresh=0.0h
ACCEPT	indonesia	Antara English	https://en.antaranews.com/rss/news.xml	200	10	0.0	0.1	items=10, avg_summary=114.2c, stub=0.0%, fresh=0.1h
ACCEPT	iraq	Iraqi News	https://www.iraqinews.com/feed/	200	10	0.0	6.8	items=10, avg_summary=254.5c, stub=0.0%, fresh=6.8h
ACCEPT	italy	ANSA English	https://www.ansa.it/english/english_rss.xml	200	10	0.0	0.3	items=10, avg_summary=75.6c, stub=0.0%, fresh=0.3h
ACCEPT	italy	ANSA Italian (Mondo)	https://www.ansa.it/sito/notizie/mondo/mondo_rss.xml	200	10	10.0	0.2	items=10, avg_summary=63.1c, stub=10.0%, fresh=0.2h
ACCEPT	italy	La Repubblica	https://www.repubblica.it/rss/homepage/rss2.0.xml	200	10	0.0	0.4	items=10, avg_summary=168.2c, stub=0.0%, fresh=0.4h
ACCEPT	kenya	Standard Kenya World	https://www.standardmedia.co.ke/rss/world.php	200	10	0.0	27.0	items=10, avg_summary=169.6c, stub=0.0%, fresh=27.0h
ACCEPT	korea_north	Daily NK	https://www.dailynk.com/english/feed/	200	10	0.0	131.1	items=10, avg_summary=368.1c, stub=0.0%, fresh=131.1h
ACCEPT	korea_north	NK News	https://www.nknews.org/feed/	200	10	0.0	2.1	items=10, avg_summary=351.4c, stub=0.0%, fresh=2.1h
ACCEPT	mexico	Mexico News Daily	https://mexiconewsdaily.com/feed/	200	10	0.0	9.5	items=10, avg_summary=315.7c, stub=0.0%, fresh=9.5h
ACCEPT	netherlands_belgium	DutchNews.nl	https://www.dutchnews.nl/feed/	200	10	0.0	0.4	items=10, avg_summary=116.9c, stub=0.0%, fresh=0.4h
ACCEPT	netherlands_belgium	NL Times	https://nltimes.nl/rss.xml	200	10	0.0		items=10, avg_summary=134.2c, stub=0.0%, fresh=Noneh
ACCEPT	nordic	The Local Germany	https://feeds.thelocal.com/rss/de	200	10	0.0	1.7	items=10, avg_summary=182.7c, stub=0.0%, fresh=1.7h
ACCEPT	nordic	The Local Sweden	https://feeds.thelocal.com/rss/se	200	10	0.0	1.1	items=10, avg_summary=189.6c, stub=0.0%, fresh=1.1h
ACCEPT	nordic	Yle Finland English	https://yle.fi/uutiset/rss/uutiset.rss?osasto=news	200	10	0.0	2.7	items=10, avg_summary=97.6c, stub=0.0%, fresh=2.7h
ACCEPT	pakistan	Dawn	https://www.dawn.com/feeds/home	200	10	0.0	0.2	items=10, avg_summary=500.0c, stub=0.0%, fresh=0.2h
ACCEPT	pakistan	Geo News English	https://www.geo.tv/rss/1/0	200	10	0.0	0.1	items=10, avg_summary=282.3c, stub=0.0%, fresh=0.1h
